Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
861,-1,98,2,52,32,-9,70,87,97,100,3,60,43,-9,98,51,87,51,63,2,2
862,-1,40,60,60,100,100,50,40,85,-9,0,70,100,100,100,0,100,-9,85,60,3
863,-1,85,30,0,50,15,0,85,70,50,15,0,30,86,15,86,100,15,60,0,2
864,-1,0,100,40,100,100,50,15,70,100,30,50,100,30,100,0,15,100,100,100,1
865,-1,70,85,85,30,100,40,30,50,85,15,60,85,85,85,60,85,85,85,85,1
866,-1,71,74,49,69,49,60,68,73,86,32,60,50,71,70,32,86,71,86,18,1
867,-1,32,86,96,71,72,17,2,70,100,50,61,78,71,86,2,91,86,85,41,1
868,-1,0,100,60,40,50,40,0,70,100,30,50,60,50,100,0,60,100,100,50,1
869,-1,40,30,15,50,70,15,30,55,75,10,15,45,70,-9,30,80,55,50,5,2
870,-1,60,15,50,15,60,50,70,60,70,15,50,70,70,70,85,85,70,70,30,2
871,-1,0,50,50,50,60,30,65,75,0,30,60,0,75,50,50,75,45,100,0,2
872,-1,2,50,97,41,71,12,15,33,83,14,39,49,51,98,1,72,86,85,31,1
873,-1,49,72,51,77,68,38,50,50,99,49,51,83,83,79,50,83,69,81,71,1
874,-1,85,17,17,50,90,51,90,85,1,85,50,30,100,66,75,100,51,75,16,2
875,-1,85,70,50,85,85,70,70,85,50,30,60,0,100,85,50,100,0,60,0,2
876,-1,43,52,51,99,87,50,52,86,99,72,42,41,99,100,85,99,41,85,3,1
877,-1,0,0,15,100,85,0,15,50,50,0,15,0,0,50,0,30,50,100,0,2
878,-1,0,60,60,50,70,15,0,50,60,15,0,70,50,50,0,60,50,70,60,1
879,-1,60,70,60,40,85,40,60,70,50,40,60,60,100,100,60,85,0,85,15,2
880,-1,40,15,40,15,70,70,85,60,100,0,15,85,85,100,0,70,100,100,85,1
881,-1,42,89,83,80,51,75,58,68,52,20,51,62,63,51,32,95,51,98,10,1
882,-1,51,32,31,61,51,41,69,51,60,60,51,31,61,50,70,85,41,85,2,2
883,-1,0,50,0,0,50,0,0,0,50,0,50,0,0,50,50,50,50,50,0,2
884,-1,100,50,50,0,70,0,0,50,0,15,3,85,100,85,0,100,50,85,0,1
885,-1,26,90,75,27,66,76,39,43,86,38,53,78,45,74,67,87,78,93,75,3
886,-1,40,75,40,60,50,60,65,50,80,65,40,30,90,80,50,90,80,85,40,2
887,-1,41,53,16,59,62,87,83,61,54,44,86,15,87,87,86,100,49,66,1,2
888,-1,70,15,30,70,85,60,70,85,40,60,70,70,100,100,50,70,30,70,60,2
889,-1,38,48,49,29,62,51,53,60,50,49,51,51,62,51,44,77,51,71,33,2
890,-1,60,50,50,50,100,70,50,70,85,50,50,50,50,60,50,85,85,70,50,1
891,-1,70,40,30,70,70,50,50,40,0,30,70,40,100,85,50,85,0,50,50,2
892,-1,0,60,70,70,85,50,70,50,85,40,50,85,85,85,0,85,50,100,70,1
893,-1,85,70,50,60,60,50,70,70,50,30,60,0,100,85,50,100,50,60,0,2
894,-1,50,41,61,41,85,86,86,85,15,61,85,30,99,85,85,85,16,99,60,2
895,-1,50,50,50,70,60,40,50,50,50,50,40,50,60,50,50,70,50,70,50,4
896,-1,-9,85,85,85,70,70,70,85,100,60,85,60,100,100,-9,100,100,85,85,2
897,-1,85,40,15,60,70,40,85,40,40,30,60,40,100,85,85,70,15,85,15,2
898,-1,16,96,70,55,60,31,64,65,98,10,61,84,66,86,28,53,86,93,40,1
899,-1,15,94,88,60,100,15,18,39,50,0,15,70,100,85,0,91,50,100,41,1
900,-1,0,50,90,60,70,30,0,15,70,15,50,70,50,50,0,15,70,78,50,1
901,-1,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,50,50,40,1
902,-1,16,50,16,16,50,41,30,50,79,1,50,40,41,50,16,70,51,78,15,2
903,-1,51,51,50,99,50,50,70,50,52,50,51,51,84,51,51,97,51,99,41,2
904,-1,16,66,61,61,86,91,85,100,85,71,85,90,91,85,15,75,85,100,66,1
905,-1,0,60,50,60,85,60,60,85,50,60,50,50,70,60,0,85,50,50,60,1
906,-1,70,51,71,61,71,71,42,61,50,60,61,40,99,69,51,51,51,61,60,1
907,-1,85,85,30,31,88,85,86,61,85,25,84,84,97,84,51,99,85,85,50,2
908,-1,15,70,15,85,85,85,60,30,50,15,15,50,50,50,85,0,70,20,50,1
909,-1,85,50,5,40,60,75,90,60,40,55,50,60,95,70,60,90,40,60,0,2
910,-1,85,60,17,31,84,52,82,60,70,30,70,32,97,85,78,85,49,50,15,2
911,-1,40,40,45,63,71,41,67,67,89,48,69,65,71,52,77,89,84,87,29,3
912,-1,41,18,3,31,52,62,85,41,52,41,74,34,42,52,87,86,50,84,3,2
913,1,65,65,70,85,65,45,35,40,100,35,25,100,55,88,25,65,100,100,85,1
914,-1,1,1,1,96,51,41,70,17,51,15,74,0,51,53,2,83,0,98,0,2
915,-1,2,100,85,60,84,40,42,85,100,30,51,100,51,100,9,86,90,99,71,1
916,-1,77,60,50,51,76,68,70,70,61,65,64,70,100,76,65,69,70,70,30,2
917,-1,2,99,99,98,60,43,16,71,99,2,52,99,40,99,1,99,98,99,99,1
918,-1,85,30,40,50,50,15,30,15,70,15,50,70,85,70,50,15,70,15,15,2
919,-1,100,50,39,39,99,39,99,87,59,52,50,51,100,100,99,99,50,51,30,2
920,-1,100,50,30,70,50,40,30,40,30,50,50,50,100,50,50,70,30,50,60,2
921,-1,70,100,85,85,100,100,85,100,100,85,85,85,100,100,60,100,85,100,100,1
922,-1,25,30,50,0,50,25,50,50,30,0,50,0,50,50,0,85,0,85,0,2
923,-1,85,0,0,60,70,100,100,50,0,85,100,0,100,100,85,100,0,85,0,2
924,-1,70,70,50,60,85,50,85,70,85,40,85,70,85,85,70,85,85,70,50,2
925,-1,30,70,70,40,60,40,15,85,100,40,50,70,70,70,30,100,70,85,70,1
926,-1,31,39,42,67,51,52,58,62,78,29,49,49,23,49,47,72,68,85,35,1
927,-1,50,60,60,15,85,70,85,60,50,60,70,50,100,85,60,85,50,85,70,2
928,-1,2,100,90,90,95,10,30,80,90,45,15,85,60,85,10,75,90,100,90,1
929,-1,30,60,40,50,60,30,40,50,60,30,50,50,60,60,0,60,50,85,50,1
930,-1,0,100,84,69,72,39,4,56,95,37,25,76,4,86,3,51,100,100,86,1
931,-1,85,54,25,73,60,42,51,52,55,29,64,53,92,54,40,84,23,81,1,2
932,-1,60,15,0,30,100,85,85,15,50,30,50,40,100,70,70,100,40,70,15,2
933,-1,85,0,0,30,50,85,100,40,0,70,50,50,100,50,50,100,0,85,0,2
934,-1,50,100,50,50,50,50,0,50,50,15,50,50,50,100,0,100,50,50,50,1
935,-1,96,85,90,50,100,50,80,90,95,60,86,95,100,95,50,70,90,50,85,1
936,-1,15,50,46,56,50,64,39,33,51,13,49,50,51,50,13,71,50,78,40,1
937,-1,-9,50,50,85,50,50,50,85,70,50,50,50,50,50,50,100,60,70,30,1
938,-1,30,51,50,30,52,50,51,50,86,50,52,50,40,50,50,53,50,50,50,1
939,-1,70,50,15,50,85,40,60,40,70,15,50,60,85,85,85,85,40,100,0,2
940,-1,85,30,1,70,84,60,99,85,0,70,85,-9,85,85,60,99,30,85,1,2
941,-1,80,10,25,10,60,70,80,75,40,25,80,40,60,60,40,85,50,55,5,2
942,-1,15,85,100,70,70,0,0,30,100,15,30,50,50,50,0,15,85,85,85,1
943,-1,30,50,30,50,50,30,85,70,50,70,50,50,60,85,50,85,50,50,15,2
944,-1,15,85,85,85,85,70,70,85,85,30,50,85,85,85,15,85,85,85,70,1
945,-1,60,40,40,60,70,40,40,70,50,60,50,40,85,70,40,85,40,60,15,2
946,-1,100,40,30,70,70,50,85,50,50,60,50,40,100,100,50,100,40,50,0,2
947,-1,0,100,100,51,100,41,0,41,100,0,50,50,30,100,0,50,100,100,100,1
948,-1,85,100,60,85,100,85,85,86,70,71,85,70,100,97,51,70,40,100,100,1
949,-1,51,88,88,92,91,32,87,74,96,17,91,90,91,91,42,79,95,93,76,1
950,-1,41,40,50,100,60,54,62,31,18,52,51,3,100,50,54,54,50,80,1,3
951,-1,60,50,50,50,60,70,85,70,70,50,70,40,100,85,60,85,50,50,0,2
952,-1,61,41,31,29,100,41,100,62,1,60,83,52,100,85,85,100,1,84,1,2
953,-1,70,60,60,85,100,40,60,100,60,70,50,85,100,85,60,85,60,85,100,2
954,-1,15,51,57,41,61,52,42,44,50,30,60,49,53,51,5,60,50,60,53,1
955,-1,7,89,86,50,77,46,0,70,70,15,52,60,71,85,0,100,60,70,0,1
956,-1,60,100,90,80,100,100,75,100,100,40,100,100,100,100,80,100,100,100,90,1
957,-1,60,50,51,60,60,51,61,85,16,40,41,60,100,96,61,95,13,51,71,1
958,-1,70,60,60,85,70,40,85,70,50,70,70,40,100,60,70,85,50,40,85,2
959,-1,51,70,51,51,77,69,85,85,50,39,60,50,99,51,51,100,51,98,97,2
960,-1,49,60,51,51,60,62,48,48,91,50,49,71,83,49,51,23,95,66,100,1
961,-1,85,50,50,70,100,70,70,100,50,85,60,15,100,70,85,100,50,100,60,2
962,-1,100,15,15,60,-9,30,100,60,15,0,50,30,100,30,100,70,0,70,0,2
963,-1,100,32,1,59,68,69,99,75,0,85,60,86,99,100,1,100,0,99,40,2
964,-1,14,98,85,61,81,72,39,68,72,38,71,62,59,79,38,98,63,92,6,1
965,-1,83,49,0,85,96,51,84,40,60,51,52,1,84,98,60,99,40,94,29,2
966,-1,70,50,0,50,70,50,70,50,15,0,15,50,70,50,50,60,0,15,0,3
967,-1,50,41,41,40,61,49,50,50,50,49,30,40,50,50,50,50,32,51,50,2
968,-1,85,15,0,70,100,40,100,40,40,60,100,50,100,100,85,100,40,70,0,2
969,-1,1,15,30,32,70,30,40,48,1,14,45,1,39,41,71,15,1,84,1,2
970,-1,50,51,50,85,50,40,51,51,50,30,50,51,100,50,50,100,50,84,48,2
971,-1,70,40,70,30,100,100,100,60,60,60,85,70,100,85,100,100,50,85,15,2
972,-1,50,100,50,100,85,40,50,40,85,50,70,70,60,70,15,70,70,100,50,1
973,-1,100,0,0,0,50,70,50,70,50,15,85,100,100,100,85,40,0,100,0,2
974,-1,50,50,40,85,50,50,50,85,50,50,50,50,100,50,50,100,0,50,0,2
975,-1,100,100,100,85,100,40,50,85,100,70,70,100,100,100,0,40,100,70,100,1
976,-1,50,50,50,50,50,40,50,85,50,50,50,50,50,50,30,70,70,50,50,1
