Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
2223,3,4,2,1,4,2,8,33,2,9,9,1,-1,3,1,1,-1,1,1,1,17,-1,40,50,40,50,60,60,40,60,70,40,60,50,50,50,60,85,50,85,50
2224,7,1,2,1,6,2,4,56,1,12,13,1,-1,1,1,1,-1,1,1,2,18,-1,55,60,60,55,85,70,75,55,60,30,65,60,95,80,80,70,50,85,30
2225,7,1,2,1,6,1,4,78,6,10,-1,5,3,1,1,1,-1,1,2,1,10,-1,50,50,15,60,70,50,70,40,30,0,50,0,85,50,0,60,0,60,0
2226,4,4,2,1,99,1,7,73,4,10,-1,1,2,1,1,1,-1,1,1,2,21,-1,50,40,40,50,50,50,60,50,30,15,40,50,60,50,50,60,30,70,40
2227,5,3,-1,1,4,2,8,74,1,15,13,5,-1,1,2,1,-1,1,1,2,28,-1,0,33,19,18,52,51,51,42,70,15,51,17,32,60,28,86,51,51,2
2228,7,1,-1,1,99,1,2,65,3,13,-1,5,-1,2,1,1,-1,1,1,3,14,-1,50,70,70,85,100,60,60,70,85,40,70,85,85,85,50,85,85,85,85
2229,7,1,1,1,1,1,7,73,4,12,-1,5,2,1,1,1,-1,1,1,2,10,-1,51,88,88,92,91,32,87,74,96,17,91,90,91,91,42,79,95,93,76
2230,3,2,4,1,5,1,2,68,4,14,-1,6,2,1,1,1,-1,2,1,1,13,-1,70,85,70,70,85,85,70,100,85,70,50,85,85,85,50,85,85,85,70
2231,2,4,1,1,99,2,8,37,6,9,-1,1,2,5,3,1,-1,1,1,1,1,-1,95,16,49,32,94,51,30,93,54,89,11,50,67,53,53,88,49,91,81
2232,3,2,1,1,3,2,4,31,1,4,6,4,2,5,3,4,4,1,1,1,1,-1,51,95,50,84,94,58,50,70,97,25,49,48,65,68,58,74,85,95,45
2233,7,3,1,1,4,2,4,68,1,13,3,5,3,3,3,4,3,1,2,3,13,-1,50,80,75,90,75,50,20,100,70,50,50,50,50,50,0,99,50,80,50
2234,4,3,1,1,2,2,8,29,6,13,-1,1,-1,1,1,1,-1,1,1,1,13,-1,40,100,85,70,50,30,50,60,85,70,50,70,50,70,50,70,70,85,70
2235,7,3,2,2,7,2,1,73,1,11,13,5,4,1,3,4,2,1,1,2,25,-1,70,30,15,0,60,50,85,50,30,30,60,0,100,60,70,85,50,70,0
2236,7,2,-1,1,4,2,4,68,1,8,8,5,-1,1,1,1,-1,1,1,3,1,-1,50,70,60,85,85,30,70,85,30,60,30,60,70,100,50,100,50,85,85
2237,2,3,4,1,7,1,1,28,1,13,14,1,2,1,1,1,-1,1,1,1,22,-1,50,30,30,70,50,60,85,30,50,60,50,30,100,50,60,100,0,70,0
2238,5,2,2,1,6,1,2,41,1,12,12,1,3,1,1,1,-1,2,1,2,20,-1,72,50,15,16,85,69,86,71,50,50,72,30,79,70,86,99,61,84,41
2239,3,3,-1,2,99,2,5,35,6,5,-1,7,2,2,1,1,-1,1,1,3,1,-1,70,15,70,70,70,70,70,70,85,70,30,0,100,36,70,60,85,85,100
2240,7,1,4,1,4,1,1,63,6,13,-1,1,-1,1,1,1,-1,1,1,2,22,-1,50,70,50,50,50,50,50,70,50,40,50,50,50,50,50,70,50,70,50
2241,6,3,1,1,99,1,2,65,5,14,-1,5,-1,2,1,1,-1,1,1,2,23,-1,50,100,50,100,85,40,50,40,85,50,70,70,60,70,15,70,70,100,50
2242,3,4,1,1,3,1,2,40,5,12,-1,1,-1,2,1,1,-1,1,1,1,9,-1,998,70,85,85,85,60,85,40,70,60,60,60,100,998,998,85,40,85,100
2243,7,2,-1,1,3,1,2,53,6,10,-1,6,-1,2,1,1,-1,1,1,4,4,-1,85,85,50,50,100,15,50,70,30,70,50,50,100,100,50,30,30,70,100
2244,7,1,4,1,6,2,8,66,1,14,13,5,-1,1,1,1,-1,1,1,3,11,-1,50,0,0,0,50,85,100,0,50,0,85,30,60,100,60,100,0,30,0
2245,6,3,-1,1,6,1,1,76,1,13,13,5,3,1,1,1,-1,1,1,3,21,-1,67,60,37,31,60,85,85,76,50,34,52,42,100,86,60,93,51,97,32
2246,5,1,2,1,4,1,5,38,6,11,14,1,-1,1,1,1,-1,1,1,1,3,-1,0,85,0,50,50,60,100,70,100,70,70,0,100,0,100,60,50,100,0
2247,5,2,-1,1,6,1,5,57,1,13,12,1,3,1,1,1,-1,1,1,2,18,-1,100,60,30,50,60,40,75,50,40,48,45,40,100,75,50,77,45,70,35
2248,7,1,2,1,4,2,1,73,3,14,-1,5,3,1,1,1,-1,1,1,3,24,-1,0,85,60,15,60,40,40,40,50,15,40,40,60,40,0,60,50,70,0
2249,6,2,-1,2,4,1,5,38,6,13,-1,1,2,2,3,1,-1,1,1,1,1,-1,40,50,50,50,60,40,50,50,40,40,40,50,60,50,50,40,40,60,70
2250,7,1,-1,2,1,1,4,32,4,15,-1,4,-1,6,1,1,-1,1,2,4,23,-1,3,85,99,99,80,16,15,30,85,12,31,78,41,81,2,40,51,99,85
2251,7,2,-1,1,4,1,4,88,3,9,-1,5,3,1,1,1,-1,2,-1,3,5,-1,85,50,60,70,85,60,85,60,50,70,85,50,100,85,40,85,50,85,40
2252,7,3,1,1,6,1,2,52,5,10,-1,1,3,5,1,1,-1,1,1,3,18,-1,70,30,60,85,70,40,85,70,60,50,40,60,70,60,50,60,50,60,70
2253,1,3,2,1,6,1,5,24,6,12,-1,1,2,1,1,1,-1,1,1,1,7,-1,85,70,70,50,100,85,100,85,85,85,70,100,100,100,85,85,85,100,30
2254,7,1,-1,1,6,2,8,41,6,9,9,1,-1,2,1,3,-1,1,-1,4,13,-1,100,85,40,100,70,100,50,100,50,85,60,85,100,100,100,85,15,100,100
2255,3,3,1,1,99,2,8,25,6,13,-1,1,3,6,2,4,3,1,1,1,19,-1,30,30,48,60,60,40,48,40,50,30,50,50,50,50,40,60,50,100,40
