Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
14,5,2,0,1,2,1,2,75,3,9,0,5,2,2,1,1,0,2,2,3,4,0,60,100,85,85,100,50,1,70,85,15,50,85,70,100,1,70,70,85,85,1
15,7,4,0,1,7,1,4,41,1,10,10,4,2,5,1,1,0,1,1,2,13,0,0,79,51,18,73,42,51,42,1,30,17,51,91,51,51,73,2,79,59,1
16,7,1,2,1,6,1,1,48,4,13,0,4,1,1,1,1,0,1,1,4,14,0,86,41,41,40,61,61,96,85,51,42,51,51,99,86,70,93,51,100,1,2
17,2,3,0,1,5,1,1,40,1,12,13,1,0,1,1,1,0,1,1,2,23,0,50,40,40,60,90,40,60,60,70,50,70,60,100,100,50,90,70,70,40,1
18,7,2,0,2,3,2,8,19,6,10,0,8,1,5,3,1,0,1,0,4,6,1,65,65,70,85,65,45,35,40,100,35,25,100,55,88,25,65,100,100,85,1
19,5,2,2,1,4,1,2,27,6,10,0,1,0,1,1,1,0,1,1,1,14,0,50,15,1,40,40,15,50,30,50,40,15,1,50,50,50,60,50,70,40,2
20,7,4,4,1,99,1,4,54,1,9,13,7,0,1,1,1,0,1,1,2,27,0,0,50,50,51,100,50,50,70,70,50,51,70,100,100,50,100,51,70,70,2
21,4,3,1,1,1,1,1,30,1,13,13,1,0,1,1,1,0,1,1,1,15,0,1,100,85,70,85,15,1,60,100,60,15,100,15,50,15,40,100,70,100,1
22,5,3,0,1,5,1,1,0,1,13,13,1,3,1,1,1,0,1,1,2,0,0,17,45,56,61,70,66,56,70,66,40,50,77,85,84,56,70,60,71,70,1
23,7,2,0,1,2,2,8,53,4,11,13,1,2,1,1,1,0,1,1,4,19,0,40,50,50,70,50,30,50,60,50,15,50,50,50,50,50,70,50,60,50,1
24,7,2,0,1,6,1,5,58,1,12,14,1,3,1,1,1,0,1,1,2,24,0,60,69,51,50,71,70,71,70,71,56,58,71,100,70,60,70,50,68,72,2
25,7,3,0,1,4,2,4,58,1,10,13,1,0,1,2,1,0,1,1,2,24,0,62,36,34,33,88,86,91,86,50,42,88,40,85,90,92,97,50,83,34,2
26,4,2,1,1,3,2,8,22,6,9,9,8,1,5,2,1,0,1,1,4,13,0,60,100,100,60,85,70,70,100,100,70,50,100,70,100,70,100,100,100,70,1
27,7,1,0,1,99,1,4,72,3,11,0,5,1,5,2,1,0,2,1,4,5,0,50,50,50,70,70,70,50,70,70,70,50,70,50,50,50,100,70,100,70,1
28,4,3,0,1,3,1,6,37,1,15,14,1,3,1,1,1,0,1,1,2,24,0,1,100,15,50,50,50,30,100,100,30,50,100,50,100,15,50,100,100,100,1
29,5,3,1,1,2,2,4,31,6,13,14,1,0,1,1,1,0,1,1,2,22,0,30,70,70,45,50,40,20,70,85,45,50,70,55,85,15,50,85,85,70,1
30,7,3,0,1,99,1,4,42,6,10,0,1,2,1,1,1,0,2,1,1,5,0,50,41,50,50,50,51,50,51,41,50,50,50,70,50,50,85,41,50,41,2
31,6,2,2,1,6,2,8,70,4,13,0,5,3,1,1,1,0,1,1,2,16,0,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70,2
32,7,4,0,1,99,2,1,31,6,11,0,1,0,0,0,0,0,1,1,0,16,0,51,80,46,51,54,50,58,48,30,60,55,54,56,60,61,2,51,48,98,1
33,7,2,0,1,7,1,2,57,1,14,13,1,3,1,2,4,1,1,1,3,0,0,100,1,1,30,100,100,100,70,1,15,100,15,100,100,100,100,1,85,1,2
34,7,2,1,1,3,1,4,40,6,95,0,1,0,1,1,1,0,1,1,2,5,0,10,50,70,50,50,10,40,60,70,1,50,50,50,50,30,100,70,100,10,1
35,7,1,1,1,5,1,5,67,1,10,10,6,0,2,1,1,0,1,1,1,13,0,0,50,50,40,100,50,70,85,50,40,40,70,85,0,50,70,60,100,85,1
36,4,4,0,2,4,2,0,46,4,11,0,6,3,2,1,1,0,2,1,4,8,0,40,50,50,70,50,30,60,40,50,30,50,40,40,50,15,30,50,70,60,1
37,7,2,2,1,99,1,7,64,1,9,9,1,2,1,1,1,0,1,2,2,13,0,99,72,32,52,50,42,92,68,5,30,64,13,99,73,92,86,51,83,2,2
38,5,3,1,1,2,2,8,35,1,14,14,1,3,1,1,1,0,1,1,2,26,0,31,70,85,45,57,40,32,45,59,30,44,52,51,57,33,56,61,67,95,1
39,1,5,4,1,4,1,2,44,1,10,10,7,0,1,1,1,0,1,1,2,15,0,50,70,30,85,50,60,70,70,85,40,50,50,85,85,50,85,50,70,50,2
40,3,3,2,1,99,2,4,41,1,10,10,1,2,1,1,1,0,1,1,2,18,0,50,70,40,65,85,85,70,70,50,60,85,85,85,85,85,95,50,90,1,2
41,3,4,2,1,7,1,5,65,1,12,14,7,3,1,1,1,0,1,1,1,9,0,70,40,15,50,85,50,60,70,15,40,60,30,100,85,70,85,15,50,15,2
42,6,3,2,1,6,1,2,53,1,13,13,1,2,1,1,1,0,1,1,2,22,0,85,15,1,30,100,40,100,30,1,30,60,15,100,100,70,85,1,70,1,2
43,2,2,1,2,99,1,2,33,6,10,0,1,0,6,1,1,0,1,0,4,3,0,50,50,50,50,83,49,51,48,50,48,54,50,50,50,50,51,51,51,51,4
44,4,4,0,1,99,1,4,54,1,10,10,1,3,1,1,1,0,1,1,2,25,0,85,70,50,100,100,30,40,60,70,15,40,60,85,70,1,70,50,85,15,1
45,3,4,4,1,5,1,5,37,6,12,0,1,0,6,1,1,0,1,0,1,12,0,74,57,56,81,71,77,69,57,1,59,31,56,80,69,58,78,1,53,51,1
46,7,3,0,1,4,1,2,47,1,10,10,1,2,1,1,1,0,1,1,2,5,0,50,50,50,60,50,50,50,70,50,60,50,50,70,50,50,85,50,60,1,2
47,7,1,0,1,3,2,4,56,1,14,12,1,3,1,1,1,0,1,1,3,13,0,16,85,85,71,85,40,11,50,49,11,50,50,71,61,1,50,50,85,61,1
48,7,1,1,1,4,1,5,40,2,13,13,1,0,5,3,1,0,1,1,2,27,0,30,50,40,35,60,60,55,70,50,35,45,50,60,50,40,70,40,100,39,1
49,7,1,1,1,2,2,4,46,1,14,13,1,4,5,2,1,0,1,1,2,27,0,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85,1
50,7,2,1,1,1,2,6,63,1,15,13,1,0,1,1,1,0,1,1,1,26,0,1,99,99,86,50,16,1,70,99,1,17,92,31,99,1,66,99,100,100,1
51,5,2,0,1,99,1,4,52,3,11,0,1,0,5,3,2,0,2,1,1,3,0,50,90,55,50,85,55,50,85,100,80,50,50,85,85,50,99,65,80,85,1
52,4,2,4,1,99,1,4,51,6,11,0,1,0,1,1,1,0,2,1,2,14,0,85,15,15,70,70,40,85,70,30,15,70,40,85,70,85,85,50,70,15,2
53,4,3,1,1,4,1,0,0,0,10,0,8,0,6,1,1,0,1,1,1,0,0,89,84,86,70,100,77,84,85,85,78,92,85,100,85,88,94,85,90,95,1
54,7,1,2,1,99,2,5,38,1,14,14,1,3,1,1,1,0,1,1,4,19,0,100,100,60,30,100,70,30,85,100,85,85,30,100,85,30,100,85,85,1,2
55,5,3,0,1,6,1,4,44,1,12,12,1,0,1,1,1,0,1,1,2,22,0,58,31,1,9,60,72,88,88,51,15,61,14,58,49,70,83,50,87,1,2
56,7,3,0,2,4,1,2,54,3,10,0,4,1,2,1,1,0,2,1,1,1,0,85,85,70,100,85,70,70,50,70,60,70,70,85,70,60,60,70,70,100,1
57,4,4,1,1,99,1,1,60,4,10,0,6,1,1,1,1,0,1,2,3,2,0,60,85,50,85,70,60,50,50,85,40,50,50,85,50,50,100,60,70,85,2
58,6,3,1,1,1,2,7,35,1,14,14,1,0,1,1,1,0,1,2,1,14,0,5,100,85,75,85,15,25,65,100,30,30,75,45,90,5,35,100,100,100,1
59,1,4,0,1,2,2,1,25,6,13,0,1,2,3,3,4,4,1,1,3,17,0,40,70,70,50,60,40,40,85,100,60,60,60,70,70,50,85,50,85,40,1
60,7,3,0,1,4,1,8,90,3,13,0,5,0,1,1,1,0,1,0,3,15,0,85,15,15,15,85,50,85,50,50,50,70,15,85,85,85,85,1,85,1,2
61,3,2,4,1,3,2,4,50,4,16,0,4,0,3,3,4,4,1,1,2,27,0,1,100,85,50,50,40,30,50,70,50,40,50,30,50,50,50,50,100,70,1
62,5,3,1,1,2,2,8,51,1,14,13,1,3,1,3,4,4,1,1,1,26,0,1,90,90,61,40,61,10,78,90,61,71,79,85,75,1,90,62,95,75,1
63,5,3,0,1,6,1,5,32,1,10,10,1,2,1,1,1,0,2,1,2,17,0,0,40,30,60,70,40,100,50,40,40,70,50,100,50,85,100,40,50,1,2
64,7,2,1,1,1,2,8,26,6,13,0,1,3,3,3,1,0,1,1,1,13,0,1,100,70,60,85,30,15,60,100,30,40,100,50,100,1,40,100,60,85,1
65,7,1,1,1,1,2,8,59,4,12,0,1,0,1,3,1,0,1,1,2,25,0,1,85,100,85,85,15,1,60,85,1,50,85,70,70,1,85,85,100,85,1
66,4,3,4,1,1,2,7,41,1,14,13,7,0,1,1,1,0,1,1,2,16,0,2,86,71,60,85,13,15,68,85,16,14,47,14,86,1,71,91,97,74,1
67,2,4,1,1,2,1,4,65,4,9,8,1,2,5,3,4,2,2,1,4,17,0,86,97,100,93,100,47,42,92,100,82,15,88,100,98,35,100,98,85,99,1
68,7,2,0,1,5,1,3,68,1,14,13,5,0,2,1,1,0,1,1,3,21,0,70,60,70,100,100,30,40,60,60,15,100,60,100,100,1,70,70,100,85,2
69,7,1,1,1,2,2,8,52,1,12,11,1,3,1,1,1,0,1,1,2,24,0,16,60,70,70,84,40,40,60,84,15,70,75,75,75,30,69,51,97,50,1
70,1,4,0,1,3,1,2,35,1,10,10,1,2,1,1,1,0,1,1,2,18,0,50,50,50,50,50,40,50,50,40,50,50,50,99,50,50,85,40,50,50,4
71,7,3,0,1,5,1,1,37,1,14,14,1,0,1,1,1,0,1,1,2,22,0,50,60,40,50,85,50,60,70,85,50,85,60,85,85,50,85,70,85,40,2
72,2,4,0,1,4,1,4,25,6,14,0,1,0,1,1,1,0,1,1,4,26,0,60,1,1,40,70,15,85,70,15,40,30,1,60,60,85,100,50,50,1,2
73,5,2,1,1,2,2,1,35,1,12,13,1,3,1,1,1,0,1,1,2,25,0,1,50,75,90,100,10,15,50,85,20,50,55,45,80,1,40,85,100,45,1
74,5,4,2,1,6,1,1,90,1,10,9,5,3,1,1,1,0,1,0,3,11,0,70,1,31,71,71,86,70,31,1,41,86,1,99,100,50,99,32,99,51,2
75,2,3,0,1,1,2,8,19,6,9,0,1,0,1,1,1,0,1,1,2,21,0,43,98,98,96,98,15,37,57,99,63,36,74,40,73,9,25,95,96,100,1
76,7,3,1,1,2,1,1,52,6,13,0,1,2,1,1,1,0,1,1,2,19,0,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70,1
77,7,2,0,1,5,1,5,48,1,13,13,1,3,1,1,1,0,1,1,2,25,0,70,1,50,50,100,50,70,70,50,60,60,40,100,50,15,85,50,85,50,3
78,1,5,0,1,6,2,5,25,6,13,0,1,0,1,1,1,0,1,1,4,23,0,51,1,16,30,42,71,85,60,70,40,16,17,85,50,99,100,39,84,39,2
79,7,1,1,1,2,2,8,55,1,13,14,1,3,1,1,1,0,1,1,2,26,0,1,100,100,30,100,50,70,70,100,30,70,85,85,100,30,100,100,100,85,1
80,5,2,0,1,4,1,2,54,4,14,0,1,3,1,1,1,0,1,1,2,24,0,50,30,70,75,60,50,70,25,50,20,75,40,90,75,20,100,50,90,70,1
81,7,2,4,1,99,2,8,85,1,9,9,5,0,1,1,1,0,1,0,3,11,0,50,50,40,30,85,40,70,70,50,60,50,30,60,50,50,100,50,998,50,2
82,7,3,1,1,3,2,8,0,6,10,0,8,0,0,1,1,0,1,1,1,0,0,1,100,60,85,60,1,50,50,100,30,50,40,40,60,15,85,85,60,70,1
83,6,2,0,1,2,1,4,30,1,13,13,4,2,5,1,1,0,1,1,3,11,0,40,40,60,40,85,30,30,40,70,40,40,85,85,85,50,85,70,85,40,1
84,5,3,1,1,2,1,3,30,6,10,0,1,1,2,1,1,0,1,1,1,8,0,80,76,68,40,92,73,52,61,68,51,59,69,97,71,51,40,71,71,100,1
85,3,3,2,1,2,2,8,25,6,13,14,1,3,1,1,1,0,1,1,1,24,0,16,30,51,51,51,57,16,18,100,16,50,51,51,51,0,70,100,100,31,1
86,7,1,2,1,6,1,5,60,1,13,13,5,3,1,1,1,0,1,1,2,0,0,51,30,49,16,77,49,87,71,51,32,46,51,86,73,70,95,31,71,1,2
87,3,3,0,1,99,2,8,50,4,9,0,1,1,1,1,1,0,1,2,2,11,0,50,85,40,70,50,50,60,40,50,30,50,50,50,50,50,85,50,85,50,2
88,7,2,4,1,4,1,4,45,1,13,13,1,3,1,1,1,0,1,1,2,25,0,47,55,71,61,85,74,61,61,50,65,80,80,85,100,47,100,50,79,70,2
89,7,3,1,1,99,1,5,70,1,10,11,5,3,1,1,1,0,1,1,3,1,0,100,60,60,60,85,60,70,70,60,70,60,70,100,85,998,85,85,85,70,2
90,7,3,4,1,5,1,2,26,6,13,12,1,0,1,1,1,0,1,1,2,12,0,15,40,30,40,50,60,70,70,50,60,50,50,50,50,999,70,50,50,50,2
91,2,3,2,1,6,1,5,57,1,10,12,1,0,1,1,1,0,1,1,2,1,0,50,40,50,30,50,50,50,50,50,50,50,50,50,70,50,60,50,60,50,2
92,6,2,0,1,6,1,4,55,4,9,13,7,0,5,1,1,0,1,0,2,21,0,70,1,1,100,100,60,100,100,1,70,70,70,100,85,15,100,40,85,85,2
93,6,2,1,1,1,2,8,33,6,14,0,1,2,1,1,1,0,1,1,1,3,0,1,100,84,69,72,39,4,56,95,37,25,76,4,86,3,51,100,100,86,1
94,7,1,2,1,7,1,2,90,3,10,0,7,0,1,3,3,0,2,0,3,2,0,100,16,31,14,99,86,100,38,41,41,70,41,100,84,49,91,52,88,40,2
95,7,3,2,1,5,1,1,38,1,10,9,1,2,1,1,1,0,1,1,2,23,0,85,40,1,40,70,50,100,60,50,60,50,40,100,100,100,100,50,50,1,2
96,2,1,4,1,4,1,5,64,1,10,10,1,1,5,3,4,2,1,1,2,14,0,98,70,61,71,86,31,85,50,51,50,14,69,84,99,84,85,70,85,84,1
97,7,2,0,1,99,1,4,60,1,10,9,1,0,1,1,1,0,1,1,2,13,0,50,50,50,60,50,40,50,50,50,30,50,50,50,50,50,70,50,50,40,2
98,7,2,1,1,4,2,4,52,1,16,16,1,0,1,1,1,0,1,1,2,27,0,15,100,60,60,100,50,40,60,100,15,50,100,100,100,1,60,70,100,70,1
99,5,3,4,1,5,1,5,32,1,13,14,1,3,1,1,1,0,1,1,2,20,0,70,15,15,50,40,15,70,50,70,30,30,60,85,70,0,70,50,100,1,3
100,7,3,0,1,4,1,8,65,1,10,9,1,3,1,1,1,0,1,1,3,1,0,85,40,70,50,70,70,50,70,50,40,30,85,85,85,30,100,70,60,85,1
101,5,1,4,1,2,2,8,32,6,13,0,1,0,1,1,1,0,2,1,1,5,0,1,60,15,50,100,30,15,85,90,15,40,85,70,85,1,100,70,100,85,3
102,7,1,1,1,4,1,5,66,1,16,14,1,3,1,1,1,0,1,2,2,25,0,85,15,30,50,85,15,60,30,50,1,40,70,100,70,40,85,50,100,70,1
103,7,3,0,1,5,1,1,37,1,14,13,1,3,1,1,1,0,1,1,2,23,0,60,70,15,30,40,60,30,70,40,70,60,30,70,30,40,85,40,60,30,2
104,7,1,0,1,5,1,5,49,4,13,0,6,0,1,1,1,0,1,1,4,1,0,70,60,15,30,100,70,60,50,70,50,70,50,100,60,40,100,60,70,1,2
105,7,4,0,1,6,1,2,70,1,10,16,5,0,1,1,1,0,1,1,2,21,0,70,50,50,50,60,40,85,60,50,85,70,60,100,100,85,85,50,100,50,2
106,3,4,0,1,99,1,2,46,4,9,0,1,0,1,1,1,0,1,1,1,0,0,0,11,35,50,61,48,50,50,34,19,50,14,97,52,0,85,1,52,2,2
107,5,4,0,1,4,1,1,56,1,13,13,7,3,1,1,1,0,1,1,2,1,0,50,60,70,60,70,50,70,70,60,15,70,50,100,70,50,100,1,85,1,2
108,5,4,4,2,99,2,4,34,6,9,9,4,1,5,3,4,0,2,0,4,0,0,70,50,70,85,100,50,15,70,85,50,50,50,70,50,50,100,70,100,85,1
109,5,3,1,1,2,1,5,29,6,9,0,1,0,2,1,1,0,1,1,1,7,0,85,40,40,70,70,85,40,70,50,70,70,70,100,70,60,70,50,60,70,1
110,5,4,0,1,4,1,5,21,6,9,0,1,3,3,1,4,3,1,1,1,22,0,70,50,50,50,50,50,50,60,50,50,50,50,100,50,50,85,50,50,15,2
111,7,1,1,1,99,1,5,49,3,10,0,1,3,1,1,1,0,1,1,1,5,0,0,14,0,88,0,40,55,93,52,51,52,40,70,89,0,88,78,97,1,1
112,7,3,0,1,99,1,2,59,3,13,0,6,0,1,1,1,0,1,1,1,3,0,60,59,48,50,85,70,47,70,17,60,39,58,100,87,50,95,15,70,37,2
113,2,3,1,1,2,1,4,66,1,16,13,5,0,1,1,1,0,1,1,2,16,0,15,100,85,60,85,60,50,60,85,70,85,70,85,100,50,100,85,70,998,1
114,5,3,1,1,2,2,4,68,2,10,7,5,0,5,1,1,0,1,0,2,12,0,50,60,60,50,70,50,60,50,60,30,40,50,50,50,50,50,60,50,50,1
115,7,1,0,1,2,1,6,54,1,16,16,1,2,6,1,1,0,1,1,2,17,0,40,51,84,50,51,17,84,84,50,9,50,51,51,86,1,9,51,95,50,1
116,7,1,0,1,6,1,4,57,1,13,13,1,0,1,1,1,0,1,1,3,1,0,100,50,40,30,100,60,100,60,50,40,85,30,100,100,85,40,50,100,1,2
117,7,1,0,1,6,1,2,32,1,13,14,1,3,1,1,1,0,1,1,2,17,0,50,1,50,50,100,80,85,65,1,70,85,50,100,100,85,100,1,50,50,2
118,7,2,1,1,3,1,8,54,3,10,0,6,1,1,1,1,0,2,0,1,4,0,43,71,83,88,98,17,45,72,86,33,49,87,67,90,8,77,86,88,85,1
119,4,4,1,1,2,2,8,26,6,10,0,1,2,1,1,1,0,1,1,4,18,0,56,77,93,62,72,49,34,52,86,51,45,61,60,86,51,52,79,80,59,1
120,5,3,1,1,4,1,4,36,1,11,10,1,3,1,1,1,0,1,1,2,17,0,0,85,50,50,85,17,41,50,85,16,17,70,85,85,0,60,85,84,85,1
121,5,3,1,1,4,1,5,36,1,14,14,1,0,1,1,1,0,1,1,2,23,0,40,100,70,70,100,40,85,70,100,60,100,100,100,100,50,85,100,85,100,1
122,3,4,0,1,4,1,4,52,1,11,8,1,0,1,1,1,0,1,0,2,21,0,59,27,23,58,61,36,83,71,33,26,21,14,85,67,44,86,17,91,9,2
123,5,2,1,1,2,2,8,32,6,13,12,1,0,1,1,1,0,1,1,1,11,0,5,100,85,57,95,40,31,59,100,22,43,100,45,98,18,40,100,100,100,1
124,7,3,0,1,99,2,5,33,6,10,0,1,1,5,1,1,0,1,1,1,4,0,53,80,54,81,84,53,53,53,54,63,53,54,51,50,53,83,54,93,89,1
125,7,1,0,1,4,1,1,81,3,9,0,5,3,1,1,1,0,1,1,1,7,0,35,60,40,75,45,75,80,75,70,40,75,45,75,50,50,75,50,85,15,1
126,7,1,2,1,4,2,1,72,1,13,10,5,4,1,1,1,0,1,1,2,28,0,3,62,60,31,61,70,69,70,98,30,71,86,50,85,32,90,98,86,87,3
127,7,2,1,1,4,1,2,55,4,9,0,6,1,6,1,1,0,1,1,3,2,0,60,55,85,100,100,85,65,85,50,75,60,50,100,100,50,100,50,100,100,2
128,6,2,1,1,2,2,8,58,1,14,10,1,3,1,1,1,0,1,1,2,26,0,1,100,100,1,100,50,1,50,100,1,0,100,100,100,1,50,100,50,100,1
129,7,2,0,1,7,1,6,27,6,11,0,8,2,1,1,1,0,1,1,1,18,0,51,40,1,61,81,78,96,79,50,85,85,49,91,97,88,98,51,82,3,2
130,7,1,0,1,4,1,2,46,1,10,11,1,0,1,1,1,0,1,1,3,23,0,70,30,30,50,50,15,85,40,70,70,50,50,100,50,50,100,70,50,85,2
131,7,1,1,1,1,1,7,74,6,13,0,5,3,1,1,1,0,2,0,1,3,0,1,90,100,70,100,10,10,40,90,40,20,100,70,100,1,30,100,100,100,1
132,7,2,2,1,6,1,1,49,5,13,0,4,0,1,1,1,0,1,1,1,7,0,50,30,15,15,70,60,85,60,30,50,70,40,85,60,60,85,30,50,30,2
133,5,3,0,1,5,1,4,33,1,9,7,1,2,5,3,4,2,1,1,2,15,0,62,61,70,71,98,71,84,84,60,85,83,70,99,71,60,85,41,98,76,1
134,4,4,0,1,4,2,8,29,1,12,13,1,2,1,1,1,0,1,1,2,22,0,50,50,60,50,70,50,70,50,100,50,50,100,60,100,50,70,100,100,100,4
135,5,3,1,1,2,2,8,33,1,14,12,1,0,1,1,1,0,1,1,2,25,0,15,50,50,50,50,40,50,50,50,15,50,50,50,50,15,50,50,50,50,1
136,7,1,2,1,1,2,8,42,1,11,15,7,4,1,1,1,0,1,1,2,28,0,1,55,0,1,65,5,75,90,100,15,55,1,1,75,1,15,100,100,0,2
137,7,1,0,1,7,1,2,78,4,10,0,1,3,1,1,1,0,1,2,3,7,0,100,15,1,1,60,85,100,70,1,60,85,50,100,85,100,100,1,70,1,2
138,6,3,2,1,4,1,5,82,4,15,0,5,3,1,3,1,0,1,2,3,12,0,50,50,50,50,60,30,60,60,50,40,50,50,70,60,50,60,50,70,60,2
139,5,3,0,1,7,1,2,62,4,10,0,1,3,1,1,1,0,1,1,2,21,0,85,40,1,50,70,50,85,50,1,50,60,50,100,70,70,85,1,50,50,2
140,7,2,0,1,4,2,4,0,6,14,0,1,3,1,3,1,0,2,1,1,11,0,27,67,59,50,54,60,40,50,57,43,62,61,50,50,23,70,60,79,55,1
141,7,3,2,1,4,1,2,73,1,13,12,5,3,1,1,1,0,1,2,3,8,0,60,60,30,60,85,30,60,40,50,30,60,40,70,70,40,70,50,60,2,2
142,7,1,0,1,1,1,4,79,1,12,13,5,3,6,2,1,0,1,1,3,19,0,30,100,85,85,100,1,15,15,100,1,60,100,100,85,1,85,85,85,100,1
143,1,4,0,1,5,1,1,27,6,13,0,1,0,1,1,1,0,1,1,3,14,0,30,40,60,50,40,70,70,40,70,50,70,30,70,60,50,60,60,60,40,2
144,2,3,1,1,99,1,2,46,4,9,0,1,2,2,1,1,0,2,1,1,16,0,50,100,100,100,100,50,1,50,100,1,50,100,100,100,1,1,50,100,100,1
145,7,2,1,1,4,1,4,62,4,13,0,1,3,1,1,1,0,2,1,1,28,0,40,50,71,70,59,51,61,70,51,16,59,59,71,60,1,69,51,59,40,1
146,7,2,0,1,99,1,1,61,4,13,0,4,0,1,1,1,0,1,1,1,20,0,30,50,60,50,50,30,50,70,60,70,30,60,70,60,30,70,60,50,50,2
147,3,1,1,1,0,2,8,58,6,13,0,1,3,1,1,1,0,1,1,3,1,0,1,50,75,65,50,35,40,30,60,1,50,50,50,1,1,40,50,85,40,1
148,7,1,0,1,5,1,2,56,5,13,0,1,3,6,1,1,0,1,1,1,14,0,85,74,54,76,96,60,50,53,85,30,53,84,61,85,1,62,75,46,72,1
149,6,3,0,1,7,1,2,70,1,9,7,5,0,1,1,1,0,1,2,3,1,0,50,1,15,1,100,60,100,30,1,50,60,50,100,100,85,70,1,70,15,2
150,7,1,0,1,4,1,1,76,4,9,0,1,1,1,2,1,0,2,1,2,11,0,70,1,50,40,70,60,70,60,50,40,50,50,100,70,60,85,50,60,1,2
151,1,3,0,1,2,1,5,39,1,13,9,1,0,1,1,1,0,1,1,2,20,0,70,70,60,70,85,70,70,50,70,50,70,60,100,50,50,100,50,50,70,2
152,5,2,1,1,99,1,5,68,3,8,0,5,0,1,1,1,0,1,1,2,6,0,2,78,71,62,88,50,61,85,1,76,51,1,85,100,62,85,1,73,70,1
153,5,1,4,2,99,1,2,66,1,14,13,1,0,1,1,1,0,1,1,3,26,0,62,18,40,32,77,57,79,29,70,29,60,71,100,97,77,94,70,84,16,2
154,7,2,0,1,2,2,5,58,4,95,0,6,1,1,1,1,0,1,1,3,1,0,50,100,70,60,85,60,40,85,100,40,70,50,85,100,30,100,100,100,70,1
155,1,4,0,1,4,2,5,25,2,13,8,1,0,1,1,1,0,1,1,1,15,0,60,70,50,50,50,40,50,60,60,40,50,50,60,60,40,60,50,70,40,3
156,3,3,0,1,2,2,4,34,1,14,13,1,3,1,1,1,0,1,1,2,17,0,30,51,50,30,52,50,51,50,86,50,52,50,40,50,50,53,50,50,50,1
157,3,4,0,1,4,1,4,58,6,12,0,8,1,6,1,1,0,1,2,1,1,0,50,85,85,100,100,40,60,60,60,40,40,85,70,85,85,100,85,85,100,1
158,7,3,0,1,3,1,2,78,4,11,0,5,3,2,1,1,0,2,2,2,13,0,70,70,0,85,85,85,70,85,85,85,85,85,100,85,0,70,85,85,85,1
