MUD,,,,,,,,,,Crime Rate
6.6,9.4,747,92.6,2858,32.26,9.3,37.4,0,40.4,0
5.5,12.2,79.6,62.5,4918,40.61,10.7,28.2,1.03,26.2,218
2.2,17.9,158.7,14.7,23681,77.02,8.7,10,5.85,17.8,80
3.8,9.3,294.9,64,24945,48.09,10.7,26.3,16.94,37,395
2.3,18.4,58.3,28,51438,74.13,8.2,8.9,9.88,14.7,74
4,7.1,256.6,69.3,5247,39.05,11.7,29,0,31.2,192
2.9,17,579,46.6,289350,73.66,10.6,23.9,7.47,41.2,953
4.6,8.9,133.2,88.7,6910,39.44,10.6,28.8,0.34,33.9,0
0,0,143.1,47.2,824,35.19,12.2,23.5,20.98,23.8,66
2.4,15.8,445.4,70.7,19634,56.09,9.4,30.2,17,39.3,921
4.3,12.2,161,91.2,15357,37.18,12.4,26.3,0.17,24.8,228
3.9,8.6,159.3,87.2,6337,35.73,9.2,38.3,1.03,42,209
4,11.2,364.6,58.5,3443,25.79,11.5,41.7,0.77,50.4,342
2.8,14.5,213.6,38.7,250276,63.95,9.2,19.2,5.22,25,311
2.7,6.7,109.2,71.6,11086,45.16,10,25.6,0.11,28,205
3.5,15.1,189.4,70.7,50535,43.95,9.1,25.2,19.23,27.6,212
0,0,466.1,65.4,2476,27.38,22.4,42,2.49,68.9,0
4,14.6,241.6,68.7,7322,38.81,11.7,28.7,26.2,31.5,401
2.4,13.7,207.2,30.5,7478,64.94,7.4,13.2,20.58,26.4,73
3.3,12.1,259.5,51.9,6038,40.68,11.9,30.1,0,32.7,336
0,0,270.1,56.6,2999,38.41,12.5,31.2,37.39,27.1,247
2.9,11.8,424.5,39.9,59104,62.56,10.4,13.9,9.04,26.2,268
2.7,12.7,298.9,45.4,37858,65.17,7.6,21.2,13.11,33.1,377
3,3.9,488.7,57.9,2427,30.16,13.8,35.1,2.91,39.5,298
4.2,7.4,222.3,66.9,16597,47.8,10.8,21.3,0,26.8,227
4.2,0,130,54.8,3550,39.3,11.7,30.3,25.47,32.4,191
3.6,0,563.5,105.9,3604,39.68,14.4,34.7,4.2,30.8,354
3.1,8.5,669,76.7,4111,35.51,14.4,44,0.2,54.5,0
4.6,2.2,456.3,76.6,1940,42.06,19.5,45.7,4.94,27.3,1169
4.2,0,324.6,72.8,2625,32.57,12.4,36,10.09,42.8,503
4.5,12.8,98,26.9,7673,52.94,9.5,18.1,22.85,28.5,136
4,0,511.8,47.5,4423,37.1,12.6,26.8,19.05,41.3,683
3.2,0,398.7,69.9,2538,49.88,9.3,33.7,27.99,48.9,0
4.1,9.4,670.9,68.3,12318,41.76,12.3,28.9,2.53,42.5,521
3.4,11.2,118.5,30.1,7958,58.37,8.3,14.8,18.67,25.8,93
3.2,21.1,779.6,73.4,18748,59.48,9.2,30.9,23.78,38.4,462
1.9,3.1,235.3,41.6,1680,38.87,11,32,1.8,41.2,0
3.4,6.6,314.4,51.7,3435,49.23,7.2,29.6,46.83,44.6,0
3,14.6,825.2,63.9,27766,58.68,8.8,30.4,16.65,36.5,368
3.4,0,118.3,25.5,7198,46.86,10.9,24.5,0.07,32.6,190
3.6,2.3,602.1,72.9,5386,39.58,10.3,31.5,26.81,53.1,330
4.4,6.1,480.1,66.1,2878,40.44,11.4,32.8,42.45,42.3,0
2.4,13.4,451.2,60,3974,30.7,13.7,40.1,0.57,54.1,322
4.2,12.1,205.7,59.2,7275,33.02,8.4,25.3,30.73,35,339
3.7,0,473.9,74.6,1760,28.47,9.9,36.7,48.04,37,326
4.1,0,341.5,63.1,5332,26.74,13.1,31.2,29.32,46.8,288
2.5,0,436.5,52.9,1545,45.7,8.3,37.1,2.07,38.7,0
2.8,7.9,382.2,84.1,6478,28.2,10.7,40.7,4.12,52,0
3,0,257.4,37.3,6358,46.18,9.3,21.6,22.5,31.1,192
4.1,8.6,425.5,51.1,2326,38.99,10.7,32.8,18.85,40.5,0
2.9,9.6,243.4,42.4,4533,51.8,9.9,24.3,1.21,30.4,205
6.1,10.6,143.9,97.9,11673,25.85,12,27.3,29.26,22,150
4.2,18.8,658.3,71.6,49920,60.12,9.4,29.6,12.39,48.7,667
2.9,12.3,481,57.8,28782,55.84,12.2,20.8,20.39,36.2,402
2.7,13.9,108.6,17,7765,71.04,6.6,10.9,15.21,19.9,0
4.7,0,212.7,40,3406,48.06,8.5,24.2,34.73,22.1,351
4.2,10.9,142.7,35.4,44141,57.34,10.6,12.2,14.25,25.7,284
3.7,6.2,871.5,61.1,6275,42.42,12,35.6,0,40.9,698
3.6,10,112.3,60.9,7535,40.44,9.8,22.4,21.4,23.4,233
3.6,0,297.9,86.7,4694,45.42,9.7,29.3,4.57,20.5,202
3.6,0,222,44,4581,48.85,10.4,18.3,25.64,24.1,64
4.6,7.2,264.2,95.3,10588,38.75,10.6,31.3,0,37.1,352
4.3,9.4,521.1,60.1,3415,41.52,8.8,28.4,0.11,41.9,84
3.5,7.7,220.8,60.5,4716,49.92,11.5,33,0,43,462
0,0,222,85.8,486,29.42,13.4,44.4,1.9,41.4,0
3.6,8.9,60.6,57.6,3681,43.36,12.2,30.9,0.09,21.6,120
2.4,2,502.7,52.9,1536,38.93,13,39.4,5.5,51.4,0
3.7,17.5,859.7,69.9,53064,57.62,10.3,39.1,15.74,52.8,551
3.2,14.6,383.3,44.2,22493,57.2,11.6,24.6,11.65,33.4,466
0,0,282,66.9,1321,50.34,14.4,24.8,1.04,31.1,220
2.5,7.6,515.4,61.1,3506,36.85,14.1,33.5,8.95,36.2,0
2.6,5.2,605,74.5,1773,53.58,10.7,40.7,2.77,60.4,272
3.2,11.6,497.6,81.4,17111,44.8,13.3,35.1,20.82,45.7,478
5.4,7.3,227.5,60.7,6214,39.68,10.5,34.2,0,29,295
0,0,835.8,89.9,1328,38.1,10.6,46.1,9.27,56.9,663
3.6,15.1,973.8,69.9,8066,49.39,13.4,43,0.64,46.7,0
0,0,436.5,63.3,1586,39.97,8.7,35.8,23.51,21.5,316
0,0,805.2,73.5,504,18.25,13.3,48.9,29.76,77.2,375
5.8,15.2,455.9,93.2,7248,31.17,9.8,35.6,0.69,34.6,161
4.4,0,308,64.4,2337,31.19,13.3,34,2.5,45.6,187
4.8,8,456.8,91.2,4757,23.5,17.3,41.2,4.32,37.6,544
4.6,0,718.9,84.7,2172,36.23,11.1,42.2,26.83,59.6,0
3.1,9.7,419.4,68,10859,46.5,9.4,35.5,3.06,42.7,288
4.1,4.4,662.2,78.1,10223,48.03,12,33.1,0.11,42,702
3.3,10.8,608.5,82.5,6620,41.87,10.6,40,3.83,43.7,0
1.7,9.5,135.8,26.4,1998,46,9.6,28.6,0.02,29.6,167
3.5,9.6,706.6,70.7,2000,29.95,12.7,42.4,1.09,32.6,226
3.6,9.5,501.3,77.6,16827,49.28,11.4,29.9,0,41.1,0
6.3,10.8,476.8,86.6,2300,35.39,13.4,41,0.14,50.2,134
0,0.6,321.7,53,2131,31.02,11.5,32.1,37.4,36.4,238
2.9,7.2,103,44.1,4113,56.72,9.3,32.6,1.29,13.2,0
4.8,0,399.6,69.2,6701,42.61,12.4,31.8,0.07,39.9,338
4,8,142,74.4,17854,46.01,9.7,25.9,22.94,32,520
3.2,11.5,247,51.3,22653,50.1,10.3,20.8,19.94,23,240
4.6,10.5,833.4,91.5,9318,42.77,11.3,34.1,2.81,35.5,494
1.3,0,650.2,73.5,1270,27.48,17.4,39.4,0.42,51.3,0
2.8,0,514.1,53.7,5531,36.03,15.4,35.4,5.99,46.3,423
4.6,6.4,362.6,87.3,8159,44.78,12.4,35.4,4.96,29.3,0
0,0,415.9,71.3,674,34.27,10.3,30.5,4.47,68,0
3.5,8.7,232.7,87.2,2370,27.17,10.9,35.3,25.33,35.8,0
5.4,5.9,118.6,53,6218,48.33,10.1,25.2,0,22.7,276
3.6,8.4,269.6,100.7,27888,38.34,12,27.4,18.09,29.9,400
2.9,2.8,411.4,73.2,2685,39.81,12.5,38.2,1.09,42.6,170
5.4,0,398.8,55.8,2554,31.64,11.7,38.7,7.06,54.4,497
6.1,2.9,448.8,63.4,2268,36.99,12,33,7.47,47.3,125
2.6,7,173.7,51.8,5190,38.05,11.4,30.4,31.08,46,117
4.8,3.7,323.5,88.35,4674,38.49,11,34,5.84,35.73,0
2.5,10,334.3,93.69,2307,19.85,14,44.3,10.92,44.92,0
3.2,0,315.4,96.09,3109,33.42,9.9,35.3,2.73,32.98,333.21
0,14.3,492.6,34.59,624,46.15,8.9,41.9,43.51,63.83,26.8
5.5,7.1,693.4,34.7,11004,48.56,13.7,35.9,8.58,52.14,853.74
0,16.9,114.2,49.64,4808,39.14,7.3,28,3.64,22.73,579.65
4.5,14.1,302.7,48.69,21079,51.05,9.3,22.6,5.73,28.59,460.13
4.5,7.3,186.7,61.22,27996,44.44,10.2,28.7,11.59,32.52,364.83
3.4,14.2,805.3,104.94,4141,40.62,13.8,43.2,12.21,40.15,0
4.3,11.1,259.3,81.43,4878,44.73,12,34.7,6.2,33.02,303.16
3.5,9,684,64.78,39562,56.05,10.5,35,7.75,50.16,626.87
3.5,4.6,719.6,31.11,2688,37.35,13.7,28.6,2.78,33.5,291.08
4.5,6.8,162.9,53.67,4472,31.95,11.5,30.9,5.52,32.32,291.15
4.3,15.4,418.6,71.33,3694,44.67,9.4,41.2,3.94,36.05,950.38
4.8,13.7,284.5,41.36,8433,68.53,8.3,19.1,1.92,28.99,174.91
3.4,10,897.2,28.25,15610,60.94,10.2,30.8,10.19,38.94,526.89
0,0,806.3,73.32,5408,40.14,11.4,43.4,5.46,51.31,760.82
2.5,0,270.6,72.45,6577,33.37,11.8,29.4,1.22,34.17,258.4
0,17.1,478,76.24,1808,31.58,10.8,41.6,9.33,57.18,137.04
3.5,6.4,271.2,54.44,13827,64.4,9.7,20.4,11.22,29.83,491.85
3,13.3,572.8,96.44,2580,39.11,10.4,40.3,3.76,34.53,121.39
4.1,14.7,374.6,49.15,30131,48.94,10.7,25.4,10.69,32.22,746.93
5.1,9.5,122,53.36,17278,62.61,7.8,21.1,11.08,29.15,170.95
0,17.8,435.5,66.69,4105,35.35,11.5,34.9,11.05,42.99,205.13
3,0,837.7,51.24,71780,63.73,9.2,34.6,5.87,46.29,513.41
0,8.8,461.5,37.94,4006,73.24,17.8,19.4,21.71,18.13,0
0,17.2,199.9,77.26,7328,38.46,11.2,28.2,3.85,37.15,203.36
2.9,13.3,123.2,31.55,63329,68.89,8.1,12.7,5.97,21.04,88.28
3.7,0,703.4,25.64,30774,66.38,7.5,37.7,21.4,47.1,404.24
