Id,V161008,V161009,V161019,V161112,V161126,V161241,V161265x,V161267,V161268,V161270,V161272,V161276x,V161307,V161310x,V161315,V161316,V161322a,V161326,V161329,V161334,V161361x,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113,Vote
2200,6,4,2,1,99,2,1,86,1,9,10,5,3,1,1,1,0,2,0,3,9,0,50,50,40,50,50,50,50,50,50,30,50,40,50,50,40,85,50,70,50,1
2201,3,4,0,1,99,2,1,35,1,9,9,1,0,3,3,1,0,1,1,2,24,0,50,50,50,85,70,50,85,50,50,60,50,50,50,50,50,85,50,60,50,1
2202,3,4,0,1,4,1,2,37,4,9,9,1,0,1,1,1,0,1,1,1,11,0,85,50,50,50,70,60,60,60,100,60,15,50,85,85,50,100,100,50,15,1
2203,5,1,2,1,6,1,7,42,4,13,0,1,3,5,2,1,0,1,1,2,14,0,50,40,15,50,50,60,85,60,30,60,50,50,50,50,60,85,30,85,1,1
2204,4,3,0,1,3,2,8,34,1,13,15,1,3,1,1,1,0,1,1,2,27,0,30,60,50,40,70,30,50,60,70,30,30,60,70,70,15,70,70,100,70,1
2205,6,3,4,1,99,2,5,45,1,10,10,1,3,1,1,1,0,1,1,2,22,0,50,50,50,55,65,40,50,50,50,50,60,50,50,50,50,85,44,60,30,1
2206,7,3,2,1,5,1,1,53,4,10,0,1,1,1,1,1,0,1,1,1,8,0,85,60,60,60,85,60,60,70,70,40,85,60,85,85,40,100,70,100,40,1
2207,7,1,2,1,6,1,2,72,1,14,14,5,3,1,1,1,0,1,1,3,26,0,86,16,1,60,70,71,98,84,26,16,70,2,99,85,31,98,2,99,1,1
2208,7,1,4,1,4,2,8,60,1,10,9,1,3,2,1,1,0,1,0,2,27,0,16,41,50,50,60,41,30,51,51,30,41,51,51,51,16,41,50,60,41,1
2209,6,2,1,1,99,1,2,60,1,13,12,5,3,1,1,1,0,1,1,2,20,0,100,100,50,70,100,60,50,60,100,40,100,60,100,100,50,85,100,100,40,1
2210,7,2,0,1,2,2,2,51,4,14,0,1,3,1,1,1,0,1,1,2,15,0,44,79,86,72,80,50,64,59,75,67,64,63,65,75,40,74,77,78,78,1
2211,7,3,1,1,4,2,8,52,1,10,10,1,2,1,3,4,4,1,2,1,19,0,15,40,60,30,100,60,85,50,50,1,15,70,85,70,60,85,1,100,40,1
2212,4,3,1,1,2,2,8,30,1,13,10,1,2,1,1,1,0,1,1,1,17,0,15,76,76,75,57,30,30,27,95,33,42,75,13,98,15,76,96,98,70,1
