Id,V162030,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
1334,0,50,15,20,25,50,60,75,40,50,10,50,50,75,50,75,90,50,50,15
1335,0,50,1,15,1,85,60,85,60,50,40,60,15,85,85,70,85,15,70,1
1336,0,15,85,70,70,60,50,40,60,85,60,60,85,70,85,15,85,85,85,85
1337,0,61,100,100,98,100,47,61,100,100,29,70,100,100,100,27,96,100,100,100
1338,0,50,50,50,50,70,50,50,50,50,50,50,50,50,50,50,1,50,50,50
1339,0,15,1,30,100,50,1,60,15,100,15,15,30,50,15,1,100,100,50,1
1340,0,85,60,70,50,70,40,70,70,100,70,60,85,100,100,60,70,85,85,85
1341,0,1,18,50,53,66,50,53,59,57,2,52,60,52,49,1,63,59,100,62
1342,0,71,51,61,63,86,44,52,51,51,52,52,52,100,73,41,88,31,71,51
1343,0,30,1,85,1,50,70,1,70,100,60,60,998,50,50,15,85,50,100,50
1344,0,100,30,15,15,50,50,70,40,40,30,50,50,100,70,60,85,30,50,1
1345,0,51,53,95,97,71,96,49,96,1,50,49,1,52,51,96,98,1,51,48
1346,0,51,51,53,51,51,76,76,41,87,3,61,52,93,51,32,100,51,100,9
1347,0,50,100,85,50,100,50,50,60,100,30,50,50,100,50,50,40,100,50,100
1348,0,40,70,70,998,70,60,40,60,50,70,85,998,70,998,50,85,998,70,40
1349,0,100,60,51,51,99,51,61,50,50,60,51,51,100,51,51,61,51,86,100
1350,0,58,60,64,64,76,35,73,83,76,77,31,58,81,82,77,76,74,77,11
1351,0,40,85,60,60,85,30,50,70,60,50,70,70,70,85,50,50,60,85,85
1352,0,30,30,20,85,60,1,40,40,60,40,1,40,60,70,100,60,40,85,60
1353,0,50,50,50,60,70,60,70,85,70,70,50,50,85,50,50,50,60,70,50
1354,0,50,50,50,60,60,40,50,50,50,30,30,50,50,50,50,85,50,50,50
1355,0,30,100,70,60,65,25,30,65,70,15,40,50,50,55,15,80,80,100,80
1356,0,60,31,1,31,60,51,85,31,69,16,51,16,70,84,60,85,51,70,1
1357,0,85,30,15,30,85,70,100,40,50,15,85,60,100,100,60,100,40,85,60
1358,0,1,85,100,50,40,40,1,90,100,30,75,50,10,100,1,85,85,100,70
1359,0,1,100,100,85,100,40,15,60,100,15,30,100,30,100,1,100,100,100,85
1360,0,28,72,85,99,69,23,54,69,100,53,52,85,48,93,11,83,93,98,49
1361,0,80,30,50,998,998,75,75,75,998,60,998,50,75,998,80,80,998,90,20
1362,0,36,87,75,72,85,48,14,68,68,61,46,67,93,98,1,49,70,80,98
1363,0,50,100,100,100,100,30,1,50,100,50,50,100,70,50,1,100,100,100,100
1364,0,15,70,70,60,50,50,40,60,50,1,30,50,50,50,15,70,50,85,30
1365,0,1,80,85,85,70,1,20,70,80,1,10,75,50,75,1,50,75,70,75
1366,0,85,40,86,85,85,85,70,85,40,71,85,87,100,70,85,85,30,70,100
1367,0,85,15,50,50,50,40,40,60,85,40,30,50,100,85,40,70,50,70,50
1368,0,998,50,70,40,85,85,85,70,85,50,85,50,85,85,70,85,998,85,30
1369,0,100,50,50,70,100,85,100,100,100,70,100,100,100,50,50,100,100,100,100
1370,0,50,40,60,30,100,60,70,50,60,40,70,70,100,100,50,85,60,100,40
1371,0,16,3,63,62,44,18,18,63,73,1,5,88,13,69,1,72,74,96,44
1372,0,998,85,85,85,85,70,60,70,70,60,60,50,85,70,30,85,70,100,999
1373,0,15,50,50,50,60,70,30,40,50,1,50,50,15,50,1,60,50,85,50
1374,0,85,85,60,50,100,70,100,70,85,50,50,60,100,100,50,85,85,100,85
1375,0,50,50,40,30,50,70,85,60,50,17,70,30,50,50,70,50,15,1,1
1376,0,0,85,40,85,100,60,50,50,85,15,100,70,85,100,0,100,85,85,85
1377,0,85,50,50,70,100,70,70,100,50,85,60,15,100,70,85,100,50,100,60
1378,0,1,74,80,99,62,55,30,73,65,39,60,61,1,59,85,61,63,93,74
1379,0,85,85,85,85,85,85,40,85,60,50,50,85,100,60,50,85,50,100,85
1380,0,50,85,85,50,100,50,1,70,100,1,50,100,85,100,1,85,85,85,100
1381,0,15,85,85,60,100,30,30,70,100,40,50,85,50,100,1,60,85,85,60
1382,0,40,70,70,60,50,40,50,60,85,40,50,60,85,85,30,85,85,70,60
1383,0,50,49,16,15,59,62,60,50,40,1,39,1,49,61,61,70,15,51,16
1384,0,50,50,30,50,50,50,50,50,31,50,50,41,50,50,50,65,30,50,16
1385,4,51,32,50,16,60,17,62,33,62,50,62,62,87,71,18,85,60,42,86
1386,0,40,40,60,60,100,70,40,60,50,50,30,100,85,100,15,60,100,100,30
1387,0,1,77,71,71,50,14,51,69,77,14,50,49,51,52,1,69,51,91,68
1388,0,1,70,80,60,80,1,10,50,90,25,60,80,25,70,1,40,100,90,90
1389,0,50,70,70,70,85,85,60,70,50,70,50,40,85,50,50,70,40,100,60
1390,0,100,50,50,50,100,85,85,85,50,70,0,50,100,85,85,100,50,50,1
1391,0,85,85,1,40,85,60,40,30,1,60,50,40,100,100,30,70,1,60,50
1392,0,40,70,50,85,50,15,30,85,50,50,50,50,100,100,15,85,50,100,60
1393,0,15,100,85,100,100,100,60,60,50,70,85,15,15,85,70,85,50,40,1
1394,0,30,50,50,50,50,50,50,50,50,50,50,50,50,50,30,10,50,50,50
1395,0,1,85,85,85,85,40,15,85,70,30,50,85,70,85,1,70,60,100,85
1396,0,30,40,40,50,60,50,60,60,50,40,70,60,50,50,15,85,50,100,15
1397,0,1,61,70,60,69,50,17,61,71,1,50,70,50,70,15,70,84,84,56
1398,0,40,90,95,75,85,60,70,100,100,75,90,60,100,100,40,100,100,100,10
1399,0,40,100,60,70,60,40,60,60,50,40,85,50,70,70,40,70,50,100,30
1400,0,86,31,1,41,87,61,85,33,1,62,51,1,100,98,71,85,1,71,41
1401,0,62,2,48,46,48,0,7,93,2,30,7,50,95,50,3,92,19,66,91
1402,0,60,85,40,50,70,85,85,60,50,60,70,50,85,70,85,85,50,85,50
1403,0,50,50,50,60,50,50,50,50,50,40,50,50,50,50,50,50,50,70,50
1404,0,1,50,85,60,70,60,1,30,50,15,50,15,1,50,30,70,50,85,60
1405,0,30,30,85,50,60,30,15,60,30,15,50,40,85,60,1,70,40,50,30
1406,0,85,85,85,70,100,70,30,40,50,40,40,50,100,50,1,85,50,70,100
1407,0,40,15,60,0,30,30,0,40,85,40,15,50,15,60,50,85,1,100,40
1408,0,85,30,1,15,100,60,85,40,1,40,85,70,100,85,85,85,1,70,1
1409,0,1,85,70,70,70,1,1,40,50,40,15,50,1,50,1,40,50,70,60
1410,0,50,40,50,100,50,60,50,70,70,50,100,40,60,100,50,100,40,100,40
1411,0,41,60,51,52,61,50,59,65,51,61,51,51,61,61,40,71,50,52,43
1412,0,1,100,60,40,50,40,1,70,100,30,50,60,50,100,1,60,100,100,50
1413,0,70,70,85,70,85,50,40,70,70,50,50,50,85,85,40,85,70,70,70
1414,0,50,50,50,50,50,50,50,50,1,40,50,30,70,50,50,70,50,50,50
1415,0,50,30,51,30,40,70,70,40,50,60,42,50,90,50,50,85,50,69,57
1416,0,85,50,50,50,60,40,50,50,1,40,50,50,100,50,50,85,1,40,30
1417,0,0,70,46,64,80,0,76,66,92,44,66,83,40,87,0,90,87,91,32
1418,0,70,70,50,85,70,70,60,40,50,40,60,70,70,50,15,85,50,85,60
1419,0,0,50,15,0,36,0,15,36,50,30,39,50,100,50,50,85,15,50,15
1420,0,15,70,85,70,85,15,15,60,85,30,70,85,100,100,1,70,85,85,70
1421,0,100,16,1,50,100,61,100,70,1,16,60,1,100,100,100,100,40,70,1
